IP,Ports
210.35.88.2,443
210.35.88.3,80,8080
210.35.88.5,443
210.35.88.7,443
210.35.88.13,80,8080
210.35.88.23,80
210.35.88.24,80
210.35.88.35,443
210.35.88.51,80,8080
210.35.88.53,80
210.35.88.62,80
210.35.88.64,80,8888
210.35.88.70,80
210.35.88.80,8888
210.35.88.81,80,443
210.35.88.83,80,443,8888
210.35.88.87,80
210.35.88.91,80,443
210.35.88.93,80
210.35.88.97,80
210.35.88.104,9080
210.35.88.122,80
210.35.88.136,80
210.35.88.138,80,8080
210.35.88.141,80
210.35.88.150,80
210.35.88.151,80
210.35.88.156,80
210.35.88.158,80
210.35.88.169,80,443,5000,5001
210.35.88.170,80
210.35.88.173,80
210.35.88.187,80
210.35.88.190,80
210.35.88.192,80
210.35.88.194,80
210.35.88.199,80
210.35.88.200,80
210.35.88.201,80,8080
210.35.88.202,80
210.35.88.203,80
210.35.88.206,5000
210.35.88.208,80,81,443,8080
210.35.88.209,80,81,83,443,8080
210.35.88.211,80,8080
210.35.88.212,80
210.35.88.218,80
210.35.88.224,8080
210.35.88.253,80,88,8001,8008,8080
